id,age.grp,trial,encoding,correct,dob,date,age,condition
M22,2,faces,none,1,8/30/09,8/31/11,2.002739726,Label
M22,2,houses,none,1,8/30/09,8/31/11,2.002739726,Label
M22,2,pasta,none,0,8/30/09,8/31/11,2.002739726,Label
M22,2,beds,none,0,8/30/09,8/31/11,2.002739726,Label
T22,2,beds,none,0,6/10/09,7/27/11,2.128767123,Label
T22,2,faces,none,0,6/10/09,7/27/11,2.128767123,Label
T22,2,houses,none,1,6/10/09,7/27/11,2.128767123,Label
T22,2,pasta,none,1,6/10/09,7/27/11,2.128767123,Label
T17,2,pasta,none,0,3/20/09,7/14/11,2.317808219,Label
T17,2,faces,none,0,3/20/09,7/14/11,2.317808219,Label
T17,2,houses,none,0,3/20/09,7/14/11,2.317808219,Label
T17,2,beds,none,0,3/20/09,7/14/11,2.317808219,Label
M3,2,faces,none,0,4/5/09,8/23/11,2.383561644,Label
M3,2,houses,none,1,4/5/09,8/23/11,2.383561644,Label
M3,2,pasta,none,1,4/5/09,8/23/11,2.383561644,Label
M3,2,beds,none,1,4/5/09,8/23/11,2.383561644,Label
T19,2,faces,none,0,1/22/09,7/14/11,2.473972603,Label
T19,2,houses,none,0,1/22/09,7/14/11,2.473972603,Label
T19,2,pasta,none,1,1/22/09,7/14/11,2.473972603,Label
T19,2,beds,none,1,1/22/09,7/14/11,2.473972603,Label
T20,2,faces,none,1,1/22/09,7/25/11,2.504109589,Label
T20,2,houses,none,1,1/22/09,7/25/11,2.504109589,Label
T20,2,pasta,none,0,1/22/09,7/25/11,2.504109589,Label
T20,2,beds,none,1,1/22/09,7/25/11,2.504109589,Label
T21,2,faces,none,1,12/26/08,7/27/11,2.583561644,Label
T21,2,houses,none,1,12/26/08,7/27/11,2.583561644,Label
T21,2,pasta,none,1,12/26/08,7/27/11,2.583561644,Label
T21,2,beds,none,0,12/26/08,7/27/11,2.583561644,Label
M26,2,faces,none,1,1/28/09,8/31/11,2.589041096,Label
M26,2,houses,none,1,1/28/09,8/31/11,2.589041096,Label
M26,2,pasta,none,0,1/28/09,8/31/11,2.589041096,Label
