"SID","age","age.grp","study_name","trial","response","trial.type","correct","logical","foil"
"2014_1_14_1",2.67671232876712,2.5,"SCALES_REP","Cars","yellow/Y","Filler",TRUE,FALSE,FALSE
"2014_1_14_3",4.66575342465753,4.5,"SCALES_REP","Cars","yellow/Y","Filler",TRUE,FALSE,FALSE
"2014_1_14_4",3.4986301369863,3,"SCALES_REP","Cars","yellow/Y","Filler",TRUE,FALSE,FALSE
"2014_1_17_6",3.0027397260274,3,"SCALES_REP","Cars","yellow/Y","Filler",TRUE,FALSE,FALSE
"2014_1_20_11",4.87123287671233,4.5,"SCALES_REP","Cars","yellow/Y","Filler",TRUE,FALSE,FALSE
"2014_1_20_12",3.72602739726027,3.5,"SCALES_REP","Cars","yellow/Y","Filler",TRUE,FALSE,FALSE
"2014_1_20_13",4.07123287671233,4,"SCALES_REP","Cars","red","Filler",FALSE,FALSE,FALSE
"2014_1_20_14",3.2958904109589,3,"SCALES_REP","Cars","yellow/Y","Filler",TRUE,FALSE,FALSE
"2014_1_20_15",4.25753424657534,4,"SCALES_REP","Cars","yellow/Y","Filler",TRUE,FALSE,FALSE
"2014_1_20_17",2.67123287671233,2.5,"SCALES_REP","Cars","yellow/Y","Filler",TRUE,FALSE,FALSE
"2014_1_20_19",2.79178082191781,2.5,"SCALES_REP","Cars","yellow/Y","Filler",TRUE,FALSE,FALSE
"2014_1_20_20",2.90684931506849,2.5,"SCALES_REP","Cars","red/Y","Filler",TRUE,FALSE,FALSE
"2014_1_20_21",3.85753424657534,3.5,"SCALES_REP","Cars","red/Y","Filler",TRUE,FALSE,FALSE
"2014_1_20_22",4.76986301369863,4.5,"SCALES_REP","Cars","red/Y","Filler",TRUE,FALSE,FALSE
"2014_1_20_24",3.34246575342466,3,"SCALES_REP","Cars","red/Y","Filler",TRUE,FALSE,FALSE
"2014_1_20_25",4.50684931506849,4.5,"SCALES_REP","Cars","red/Y","Filler",TRUE,FALSE,FALSE
"2014_1_21_26",3.23835616438356,3,"SCALES_REP","Cars","red/Y","Filler",TRUE,FALSE,FALSE
"2014_1_21_27",2.35342465753425,2,"SCALES_REP","Cars","red/Y","Filler",TRUE,FALSE,FALSE
"2014_1_21_29",4.43287671232877,4,"SCALES_REP","Cars","red/Y","Filler",TRUE,FALSE,FALSE
"2014_1_21_30",2.34520547945205,2,"SCALES_REP","Cars","red/Y","Filler",TRUE,FALSE,FALSE
"2014_1_21_31",2.4958904109589,2,"SCALES_REP","Cars","red/Y","Filler",TRUE,FALSE,FALSE
"2014_1_21_32",3.22739726027397,3,"SCALES_REP","Cars","red/Y","Filler",TRUE,FALSE,FALSE
"2014_1_21_33",3.98356164383562,3.5,"SCALES_REP","Cars","red/Y","Filler",TRUE,FALSE,FALSE
"2014_1_21_34",4.87397260273973,4.5,"SCALES_REP","Cars","red/Y","Filler",TRUE,FALSE,FALSE
"2014_1_21_37",4.3013698630137,4,"SCALES_REP","Cars","blue/Y","Filler",TRUE,FALSE,FALSE
"2014_1_21_38",2.26301369863014,2,"SCALES_REP","Cars","blue/Y","Filler",TRUE,FALSE,FALSE
"2014_1_21_39",2.32602739726027,2,"SCALES_REP","Cars","blue/Y","Filler",TRUE,FALSE,FALSE
"2014_1_21_40",2.95342465753425,2.5,"SCALES_REP","Cars","blue/Y","Filler",TRUE,FALSE,FALSE
"2014_1_26_41",4.18356164383562,4,"SCALES_REP","Cars","blue/Y","Filler",TRUE,FALSE,FALSE
"2014_1_26_42",2.09041095890411,2,"SCALES_REP","Cars","n/a","Filler",FALSE,FALSE,FALSE
"2014_1_26_43",4.37260273972603,4,"SCALES_REP","Cars","blue/Y","Filler",TRUE,FALSE,FALSE
"2014_1_26_44",3.60821917808219,3.5,"SCALES_REP","Cars","blue/Y","Filler",TRUE,FALSE,FALSE
"2014_1_26_45",4,4,"SCALES_REP","Cars","blue/Y","Filler",TRUE,FALSE,FALSE
"2014_1_26_46",3.67671232876712,3.5,"SCALES_REP","Cars","blue/Y","Filler",TRUE,FALSE,FALSE
"2014_1_26_47",3.98630136986301,3.5,"SCALES_REP","Cars","blue/Y","Filler",TRUE,FALSE,FALSE
"2014_1_26_48",4.5972602739726,4.5,"SCALES_REP","Cars","blue/Y","Filler",TRUE,FALSE,FALSE
"2014_1_26_49",4.84383561643836,4.5,"SCALES_REP","Cars","red/Y","Filler",TRUE,FALSE,FALSE
"2014_1_26_50",4.9972602739726,4.5,"SCALES_REP","Cars","red/Y","Filler",TRUE,FALSE,FALSE
"2014_1_26_52",4.98082191780822,4.5,"SCALES_REP","Cars","red/Y","Filler",TRUE,FALSE,FALSE
"2014_1_26_53",3.5972602739726,3.5,"SCALES_REP","Cars","red/Y","Filler",TRUE,FALSE,FALSE
"2014_1_26_55",3.30958904109589,3,"SCALES_REP","Cars","red/Y","Filler",TRUE,FALSE,FALSE
"2014_1_28_57",2.63013698630137,2.5,"SCALES_REP","Cars","red/Y","Filler",TRUE,FALSE,FALSE
"2014_1_28_58",3.48493150684931,3,"SCALES_REP","Cars","red/Y","Filler",TRUE,FALSE,FALSE
"2014_1_28_60",2.96164383561644,2.5,"SCALES_REP","Cars","red/Y","Filler",TRUE,FALSE,FALSE
"2014_1_28_61",2.59452054794521,2.5,"SCALES_REP","Cars","red/Y","Filler",TRUE,FALSE,FALSE
"2014_1_28_62",2.84383561643836,2.5,"SCALES_REP","Cars","red/Y","Filler",TRUE,FALSE,FALSE
"2014_1_28_63",4.0027397260274,4,"SCALES_REP","Cars","red/Y","Filler",TRUE,FALSE,FALSE
"2014_1_28_64",3.73698630136986,3.5,"SCALES_REP","Cars","red/Y","Filler",TRUE,FALSE,FALSE
"2014_1_31_66",2.4027397260274,2,"SCALES_REP","Cars","blue/Y","Filler",TRUE,FALSE,FALSE
"2014_1_31_67",2.23287671232877,2,"SCALES_REP","Cars","blue/Y","Filler",TRUE,FALSE,FALSE
"2014_1_31_69",2.01369863013699,2,"SCALES_REP","Cars","blue/Y","Filler",TRUE,FALSE,FALSE
"2014_1_31_71",4.54246575342466,4.5,"SCALES_REP","Cars","blue/Y","Filler",TRUE,FALSE,FALSE
"2014_1_31_72",2.53150684931507,2.5,"SCALES_REP","Cars","blue/Y","Filler",TRUE,FALSE,FALSE
"2014_1_31_73",4.53698630136986,4.5,"SCALES_REP","Cars","blue/Y","Filler",TRUE,FALSE,FALSE
"2014_1_31_74",4.83835616438356,4.5,"SCALES_REP","Cars","blue/Y","Filler",TRUE,FALSE,FALSE
"2014_1_31_75",3.19178082191781,3,"SCALES_REP","Cars","blue/Y","Filler",TRUE,FALSE,FALSE
"2014_1_31_77",3.96986301369863,3.5,"SCALES_REP","Cars","blue/Y","Filler",TRUE,FALSE,FALSE
"2014_1_31_78",4.15068493150685,4,"SCALES_REP","Cars","blue/Y","Filler",TRUE,FALSE,FALSE
"2014_1_31_79",3.04657534246575,3,"SCALES_REP","Cars","red","Filler",FALSE,FALSE,FALSE
"2014_1_31_80",3.7041095890411,3.5,"SCALES_REP","Cars","blue/Y","Filler",TRUE,FALSE,FALSE
"2014_1_31_81",4.37808219178082,4,"SCALES_REP","Cars","yellow/Y","Filler",TRUE,FALSE,FALSE
"2014_1_31_82",3.12876712328767,3,"SCALES_REP","Cars","yellow/Y","Filler",TRUE,FALSE,FALSE
"2014_1_31_83",4.61917808219178,4.5,"SCALES_REP","Cars","yellow/Y","Filler",TRUE,FALSE,FALSE
"2014_2_2_84",3.42465753424658,3,"SCALES_REP","Cars","yellow/Y","Filler",TRUE,FALSE,FALSE
"2014_2_2_86",2.95616438356164,2.5,"SCALES_REP","Cars","yellow/Y","Filler",TRUE,FALSE,FALSE
"2014_2_2_87",2.89315068493151,2.5,"SCALES_REP","Cars","yellow/Y","Filler",TRUE,FALSE,FALSE
"2014_2_2_88",5,4,"SCALES_REP","Cars","yellow/Y","Filler",TRUE,FALSE,FALSE
"2014_2_2_89",2.40821917808219,2,"SCALES_REP","Cars","yellow/Y","Filler",TRUE,FALSE,FALSE
"2014_2_2_90",3.27397260273973,3,"SCALES_REP","Cars","yellow/Y","Filler",TRUE,FALSE,FALSE
"2014_2_2_91",4.21917808219178,4,"SCALES_REP","Cars","yellow/Y","Filler",TRUE,FALSE,FALSE
"2014_2_2_92",2.85205479452055,2.5,"SCALES_REP","Cars","yellow/Y","Filler",TRUE,FALSE,FALSE
"2014_2_2_93",3.5013698630137,3.5,"SCALES_REP","Cars","yellow/Y","Filler",TRUE,FALSE,FALSE
"2014_2_4_101",4.73698630136986,4.5,"SCALES_REP_Control","Cars","red","Filler",FALSE,FALSE,FALSE
