id,age.grp,trial,encoding,correct,condition
S1,adult,faces,none,1,Label
S1,adult,houses,none,1,Label
S1,adult,pasta,none,1,Label
S1,adult,beds,none,1,Label
S10,adult,faces,none,1,Label
S10,adult,houses,none,1,Label
S10,adult,pasta,none,1,Label
S10,adult,beds,none,1,Label
S11,adult,faces,none,1,Label
S11,adult,houses,none,1,Label
S11,adult,pasta,none,1,Label
S11,adult,beds,none,1,Label
S12,adult,faces,none,1,Label
S12,adult,houses,none,1,Label
S12,adult,pasta,none,1,Label
S12,adult,beds,none,1,Label
S13,adult,faces,none,1,Label
S13,adult,houses,none,1,Label
S13,adult,pasta,none,1,Label
S13,adult,beds,none,1,Label
S14,adult,faces,none,1,Label
S14,adult,houses,none,1,Label
S14,adult,pasta,none,1,Label
S14,adult,beds,none,1,Label
S15,adult,faces,none,1,Label
S15,adult,houses,none,1,Label
S15,adult,pasta,none,1,Label
S15,adult,beds,none,1,Label
S16,adult,faces,none,1,Label
S16,adult,houses,none,1,Label
S16,adult,pasta,none,1,Label
S16,adult,beds,none,1,Label
S17,adult,faces,none,1,Label
S17,adult,houses,none,1,Label
S17,adult,pasta,none,0,Label
S17,adult,beds,none,1,Label
S18,adult,faces,none,1,Label
S18,adult,houses,none,1,Label
S18,adult,pasta,none,1,Label
S18,adult,beds,none,1,Label
S19,adult,faces,none,1,Label
S19,adult,houses,none,1,Label
S19,adult,pasta,none,1,Label
S19,adult,beds,none,1,Label
S2,adult,faces,none,1,Label
S2,adult,houses,none,1,Label
S2,adult,pasta,none,1,Label
S2,adult,beds,none,1,Label
S20,adult,faces,none,1,Label
S20,adult,houses,none,1,Label
S20,adult,pasta,none,1,Label
S20,adult,beds,none,1,Label
S21,adult,faces,none,1,Label
S21,adult,houses,none,1,Label
S21,adult,pasta,none,0,Label
S21,adult,beds,none,1,Label
S22,adult,faces,none,1,Label
S22,adult,houses,none,1,Label
S22,adult,pasta,none,1,Label
S22,adult,beds,none,1,Label
S23,adult,faces,none,1,Label
S23,adult,houses,none,1,Label
S23,adult,pasta,none,1,Label
S23,adult,beds,none,1,Label
S24,adult,faces,none,1,Label
S24,adult,houses,none,0,Label
S24,adult,pasta,none,1,Label
S24,adult,beds,none,0,Label
S3,adult,faces,none,1,Label
S3,adult,houses,none,1,Label
S3,adult,pasta,none,1,Label
S3,adult,beds,none,1,Label
S4,adult,faces,none,1,Label
S4,adult,houses,none,1,Label
S4,adult,pasta,none,1,Label
S4,adult,beds,none,1,Label
S5,adult,faces,none,1,Label
S5,adult,houses,none,1,Label
S5,adult,pasta,none,1,Label
S5,adult,beds,none,1,Label
S6,adult,faces,none,1,Label
S6,adult,houses,none,1,Label
S6,adult,pasta,none,1,Label
S6,adult,beds,none,1,Label
S7,adult,faces,none,1,Label
S7,adult,houses,none,1,Label
S7,adult,pasta,none,1,Label
S7,adult,beds,none,1,Label
S8,adult,faces,none,1,Label
S8,adult,houses,none,1,Label
S8,adult,pasta,none,1,Label
S8,adult,beds,none,1,Label
S9,adult,faces,none,1,Label
S9,adult,houses,none,1,Label
S9,adult,pasta,none,1,Label
S9,adult,beds,none,1,Label
SC1,adult,faces,none,0,No Label
SC2,adult,faces,none,0,No Label
SC3,adult,faces,none,0,No Label
SC4,adult,faces,none,0,No Label
SC5,adult,faces,none,1,No Label
SC6,adult,faces,none,0,No Label
SC7,adult,faces,none,1,No Label
SC8,adult,faces,none,0,No Label
SC9,adult,faces,none,1,No Label
SC10,adult,faces,none,0,No Label
SC11,adult,faces,none,0,No Label
SC12,adult,faces,none,0,No Label
SC13,adult,faces,none,0,No Label
SC14,adult,faces,none,0,No Label
SC15,adult,faces,none,0,No Label
SC16,adult,faces,none,0,No Label
SC17,adult,faces,none,0,No Label
SC18,adult,faces,none,0,No Label
SC19,adult,faces,none,1,No Label
SC20,adult,faces,none,0,No Label
SC21,adult,faces,none,1,No Label
SC22,adult,faces,none,0,No Label
SC23,adult,faces,none,0,No Label
SC24,adult,faces,none,1,No Label
SC1,adult,houses,none,0,No Label
SC2,adult,houses,none,0,No Label
SC3,adult,houses,none,1,No Label
SC4,adult,houses,none,0,No Label
SC5,adult,houses,none,0,No Label
SC6,adult,houses,none,0,No Label
SC7,adult,houses,none,0,No Label
SC8,adult,houses,none,1,No Label
SC9,adult,houses,none,0,No Label
SC10,adult,houses,none,0,No Label
SC11,adult,houses,none,0,No Label
SC12,adult,houses,none,0,No Label
SC13,adult,houses,none,1,No Label
SC14,adult,houses,none,0,No Label
SC15,adult,houses,none,0,No Label
SC16,adult,houses,none,0,No Label
SC17,adult,houses,none,1,No Label
SC18,adult,houses,none,0,No Label
SC19,adult,houses,none,0,No Label
SC20,adult,houses,none,0,No Label
SC21,adult,houses,none,1,No Label
SC22,adult,houses,none,0,No Label
SC23,adult,houses,none,0,No Label
SC24,adult,houses,none,0,No Label
SC1,adult,pasta,none,0,No Label
SC2,adult,pasta,none,0,No Label
SC3,adult,pasta,none,0,No Label
SC4,adult,pasta,none,0,No Label
SC5,adult,pasta,none,0,No Label
SC6,adult,pasta,none,0,No Label
SC7,adult,pasta,none,1,No Label
SC8,adult,pasta,none,0,No Label
SC9,adult,pasta,none,0,No Label
SC10,adult,pasta,none,0,No Label
SC11,adult,pasta,none,0,No Label
SC12,adult,pasta,none,0,No Label
SC13,adult,pasta,none,1,No Label
SC14,adult,pasta,none,0,No Label
SC15,adult,pasta,none,0,No Label
SC16,adult,pasta,none,0,No Label
SC17,adult,pasta,none,1,No Label
SC18,adult,pasta,none,1,No Label
SC19,adult,pasta,none,0,No Label
SC20,adult,pasta,none,0,No Label
SC21,adult,pasta,none,0,No Label
SC22,adult,pasta,none,0,No Label
SC23,adult,pasta,none,0,No Label
SC24,adult,pasta,none,0,No Label
SC1,adult,beds,none,0,No Label
SC2,adult,beds,none,1,No Label
SC3,adult,beds,none,1,No Label
SC4,adult,beds,none,0,No Label
SC5,adult,beds,none,0,No Label
SC6,adult,beds,none,0,No Label
SC7,adult,beds,none,1,No Label
SC8,adult,beds,none,0,No Label
SC9,adult,beds,none,0,No Label
SC10,adult,beds,none,1,No Label
SC11,adult,beds,none,0,No Label
SC12,adult,beds,none,0,No Label
SC13,adult,beds,none,0,No Label
SC14,adult,beds,none,0,No Label
SC15,adult,beds,none,1,No Label
SC16,adult,beds,none,0,No Label
SC17,adult,beds,none,0,No Label
SC18,adult,beds,none,0,No Label
SC19,adult,beds,none,0,No Label
SC20,adult,beds,none,0,No Label
SC21,adult,beds,none,0,No Label
SC22,adult,beds,none,1,No Label
SC23,adult,beds,none,1,No Label
SC24,adult,beds,none,0,No Label
